iter	Passed	Remaining
0	5	582
1	10	495
2	14	468
3	18	436
4	22	434
5	27	424
6	31	424
7	36	415
8	40	413
9	45	409
10	49	402
11	54	397
12	58	390
13	63	389
14	67	383
15	72	379
16	76	375
17	81	369
18	85	363
19	89	359
20	94	356
21	99	351
22	103	346
23	108	342
24	112	337
25	117	333
26	121	328
27	126	324
28	130	318
29	134	314
30	139	310
31	144	306
32	148	302
33	153	298
34	158	293
35	162	289
36	167	284
37	172	280
38	176	276
39	181	272
40	186	267
41	187	259
42	192	255
43	196	250
44	200	245
45	205	240
46	209	236
47	213	231
48	217	226
49	219	219
50	222	213
51	225	207
52	228	202
53	231	196
54	233	190
55	235	185
56	238	179
57	241	174
58	243	169
59	246	164
60	249	159
61	251	154
62	254	149
63	257	144
64	259	139
65	262	135
66	264	130
67	267	125
68	269	121
69	272	116
70	275	112
71	277	108
72	280	103
73	283	99
74	286	95
75	289	91
76	291	87
77	294	83
78	297	78
79	299	74
80	302	70
81	305	66
82	307	63
83	310	59
84	312	55
85	315	51
86	318	47
87	321	43
88	323	40
89	326	36
90	328	32
91	331	28
92	334	25
93	337	21
94	340	17
95	342	14
96	345	10
97	348	7
98	350	3
99	352	0
