iter	Passed	Remaining
0	159	159314
1	160	80305
2	162	54009
3	164	41058
4	167	33272
5	169	28004
6	170	24236
7	172	21396
8	174	19159
9	175	17385
10	177	15986
11	180	14821
12	181	13806
13	183	12914
14	185	12151
15	186	11476
16	188	10880
17	189	10349
18	191	9908
19	194	9509
20	195	9121
21	197	8763
22	198	8444
23	200	8151
24	201	7873
25	203	7619
26	205	7391
27	207	7194
28	209	7008
29	210	6820
30	212	6643
31	214	6476
32	215	6315
33	216	6164
34	218	6022
35	220	5897
36	222	5784
37	224	5679
38	226	5570
39	227	5462
40	229	5358
41	230	5258
42	232	5165
43	233	5081
44	236	5011
45	237	4932
46	239	4855
47	241	4783
48	242	4713
49	244	4647
50	246	4582
51	247	4521
52	250	4468
53	251	4413
54	253	4359
55	255	4304
56	256	4250
57	258	4198
58	260	4148
59	261	4099
60	263	4060
61	265	4023
62	267	3985
63	269	3943
64	271	3901
65	272	3857
66	274	3817
67	275	3779
68	277	3741
69	279	3713
70	281	3683
71	283	3648
72	284	3614
73	286	3583
74	287	3551
75	289	3520
76	291	3488
77	293	3464
78	295	3439
79	296	3414
80	298	3387
81	300	3360
82	301	3325
83	302	3299
84	304	3275
85	305	3251
86	308	3232
87	310	3214
88	311	3193
89	313	3170
90	315	3147
91	316	3123
92	318	3102
93	319	3080
94	321	3058
95	323	3042
96	325	3027
97	326	3006
98	328	2985
99	329	2967
100	331	2949
101	332	2930
102	334	2912
103	336	2895
104	338	2882
105	340	2870
106	341	2854
107	343	2837
108	345	2820
109	346	2804
110	348	2787
111	349	2771
112	351	2755
113	353	2746
114	355	2735
115	357	2725
116	359	2710
117	360	2695
118	362	2680
119	363	2666
120	365	2653
121	367	2641
122	369	2632
123	370	2620
124	372	2608
125	374	2596
126	375	2581
127	377	2569
128	379	2559
129	380	2548
130	383	2541
131	385	2533
132	387	2523
133	389	2514
134	391	2505
135	392	2494
136	394	2484
137	396	2475
138	398	2468
139	400	2461
140	402	2450
141	403	2436
142	404	2426
143	406	2415
144	407	2405
145	409	2395
146	411	2388
147	413	2381
148	415	2372
149	416	2362
150	418	2352
151	419	2342
152	421	2332
153	422	2323
154	424	2312
155	426	2307
156	428	2300
157	430	2293
158	432	2285
159	433	2276
160	434	2264
161	436	2256
162	437	2247
163	439	2238
164	441	2233
165	443	2228
166	445	2220
167	446	2212
168	448	2205
169	449	2196
170	451	2188
171	452	2180
172	454	2174
173	457	2170
174	458	2162
175	460	2155
176	461	2147
177	463	2139
178	464	2132
179	466	2125
180	468	2118
181	469	2111
182	471	2106
183	473	2099
184	474	2092
185	476	2085
186	477	2077
187	479	2070
188	480	2063
189	482	2056
190	484	2050
191	486	2047
192	488	2042
193	490	2037
194	491	2030
195	493	2024
196	494	2017
197	496	2011
198	498	2004
199	499	1998
200	501	1994
201	504	1991
202	505	1985
203	507	1979
204	508	1973
205	510	1968
